| end of split  16 / 20 | epoch   3 | time:  3.03s | valid loss  2.00 | valid ppl     7.37 | learning rate 5.0000
| end of split  17 / 20 | epoch   3 | time:  2.96s | valid loss  1.93 | valid ppl     6.90 | learning rate 5.0000
| end of split  18 / 20 | epoch   3 | time:  3.06s | valid loss  1.97 | valid ppl     7.14 | learning rate 5.0000
| end of split  19 / 20 | epoch   3 | time:  3.01s | valid loss  1.92 | valid ppl     6.82 | learning rate 5.0000
| end of split  20 / 20 | epoch   3 | time:  3.04s | valid loss  1.92 | valid ppl     6.79 | learning rate 5.0000
| end of split   1 / 20 | epoch   4 | time:  3.37s | valid loss  1.96 | valid ppl     7.09 | learning rate 5.0000
| end of split   2 / 20 | epoch   4 | time:  3.10s | valid loss  1.99 | valid ppl     7.34 | learning rate 5.0000
| end of split   3 / 20 | epoch   4 | time:  3.11s | valid loss  1.99 | valid ppl     7.33 | learning rate 5.0000
| end of split   4 / 20 | epoch   4 | time:  3.07s | valid loss  1.98 | valid ppl     7.22 | learning rate 5.0000
| end of split   5 / 20 | epoch   4 | time:  3.03s | valid loss  1.94 | valid ppl     6.94 | learning rate 5.0000
| end of split   6 / 20 | epoch   4 | time:  3.02s | valid loss  1.94 | valid ppl     6.97 | learning rate 5.0000
| end of split   7 / 20 | epoch   4 | time:  3.02s | valid loss  1.93 | valid ppl     6.88 | learning rate 5.0000
| end of split   8 / 20 | epoch   4 | time:  3.09s | valid loss  1.88 | valid ppl     6.55 | learning rate 5.0000
| end of split   9 / 20 | epoch   4 | time:  3.07s | valid loss  1.92 | valid ppl     6.82 | learning rate 5.0000
| end of split  10 / 20 | epoch   4 | time:  3.17s | valid loss  1.93 | valid ppl     6.87 | learning rate 5.0000
| end of split  11 / 20 | epoch   4 | time:  3.08s | valid loss  1.92 | valid ppl     6.82 | learning rate 5.0000
| end of split  12 / 20 | epoch   4 | time:  3.10s | valid loss  1.93 | valid ppl     6.91 | learning rate 5.0000
| end of split  13 / 20 | epoch   4 | time:  3.04s | valid loss  1.94 | valid ppl     6.93 | learning rate 5.0000
| end of split  14 / 20 | epoch   4 | time:  3.09s | valid loss  1.94 | valid ppl     6.97 | learning rate 5.0000
| end of split  15 / 20 | epoch   4 | time:  3.00s | valid loss  1.94 | valid ppl     6.96 | learning rate 5.0000
| end of split  16 / 20 | epoch   4 | time:  3.07s | valid loss  1.94 | valid ppl     6.94 | learning rate 5.0000
| end of split  17 / 20 | epoch   4 | time:  2.98s | valid loss  1.92 | valid ppl     6.84 | learning rate 5.0000
| end of split  18 / 20 | epoch   4 | time:  3.02s | valid loss  1.91 | valid ppl     6.77 | learning rate 5.0000
| end of split  19 / 20 | epoch   4 | time:  3.00s | valid loss  1.95 | valid ppl     7.02 | learning rate 5.0000
| end of split  20 / 20 | epoch   4 | time:  3.03s | valid loss  1.92 | valid ppl     6.84 | learning rate 1.2500
| end of split   1 / 20 | epoch   5 | time:  3.28s | valid loss  1.91 | valid ppl     6.75 | learning rate 1.2500
| end of split   2 / 20 | epoch   5 | time:  3.09s | valid loss  1.91 | valid ppl     6.77 | learning rate 1.2500
| end of split   3 / 20 | epoch   5 | time:  3.04s | valid loss  1.89 | valid ppl     6.64 | learning rate 1.2500
| end of split   4 / 20 | epoch   5 | time:  3.01s | valid loss  1.89 | valid ppl     6.65 | learning rate 1.2500
| end of split   5 / 20 | epoch   5 | time:  3.03s | valid loss  1.90 | valid ppl     6.68 | learning rate 1.2500
| end of split   6 / 20 | epoch   5 | time:  3.07s | valid loss  1.91 | valid ppl     6.79 | learning rate 1.2500
| end of split   7 / 20 | epoch   5 | time:  3.19s | valid loss  1.91 | valid ppl     6.75 | learning rate 1.2500
| end of split   8 / 20 | epoch   5 | time:  3.13s | valid loss  1.93 | valid ppl     6.87 | learning rate 1.2500
| end of split   9 / 20 | epoch   5 | time:  3.09s | valid loss  1.93 | valid ppl     6.88 | learning rate 1.2500
| end of split  10 / 20 | epoch   5 | time:  3.09s | valid loss  1.93 | valid ppl     6.88 | learning rate 1.2500
| end of split  11 / 20 | epoch   5 | time:  3.09s | valid loss  1.93 | valid ppl     6.88 | learning rate 0.3125
| end of split  12 / 20 | epoch   5 | time:  3.09s | valid loss  1.92 | valid ppl     6.85 | learning rate 0.3125
| end of split  13 / 20 | epoch   5 | time:  3.07s | valid loss  1.92 | valid ppl     6.85 | learning rate 0.3125
| end of split  14 / 20 | epoch   5 | time:  3.11s | valid loss  1.92 | valid ppl     6.85 | learning rate 0.3125
| end of split  15 / 20 | epoch   5 | time:  3.09s | valid loss  1.92 | valid ppl     6.85 | learning rate 0.3125
| end of split  16 / 20 | epoch   5 | time:  2.98s | valid loss  1.92 | valid ppl     6.83 | learning rate 0.3125
| end of split  17 / 20 | epoch   5 | time:  2.99s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.3125
| end of split  18 / 20 | epoch   5 | time:  3.07s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.3125
| end of split  19 / 20 | epoch   5 | time:  3.03s | valid loss  1.92 | valid ppl     6.81 | learning rate 0.3125
| end of split  20 / 20 | epoch   5 | time:  3.07s | valid loss  1.92 | valid ppl     6.83 | learning rate 0.3125
| end of split   1 / 20 | epoch   6 | time:  3.27s | valid loss  1.92 | valid ppl     6.84 | learning rate 0.3125
| end of split   2 / 20 | epoch   6 | time:  3.09s | valid loss  1.92 | valid ppl     6.83 | learning rate 0.0781
| end of split   3 / 20 | epoch   6 | time:  3.06s | valid loss  1.92 | valid ppl     6.83 | learning rate 0.0781
| end of split   4 / 20 | epoch   6 | time:  3.07s | valid loss  1.92 | valid ppl     6.83 | learning rate 0.0781
| end of split   5 / 20 | epoch   6 | time:  3.14s | valid loss  1.92 | valid ppl     6.84 | learning rate 0.0781
| end of split   6 / 20 | epoch   6 | time:  3.02s | valid loss  1.92 | valid ppl     6.83 | learning rate 0.0781
| end of split   7 / 20 | epoch   6 | time:  3.15s | valid loss  1.92 | valid ppl     6.83 | learning rate 0.0781
| end of split   8 / 20 | epoch   6 | time:  3.12s | valid loss  1.92 | valid ppl     6.82 | learning rate 0.0781
| end of split   9 / 20 | epoch   6 | time:  3.09s | valid loss  1.92 | valid ppl     6.82 | learning rate 0.0781
| end of split  10 / 20 | epoch   6 | time:  3.12s | valid loss  1.92 | valid ppl     6.82 | learning rate 0.0781
| end of split  11 / 20 | epoch   6 | time:  3.06s | valid loss  1.92 | valid ppl     6.82 | learning rate 0.0781
| end of split  12 / 20 | epoch   6 | time:  3.06s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0781
| end of split  13 / 20 | epoch   6 | time:  3.08s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0195
| end of split  14 / 20 | epoch   6 | time:  3.05s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0195
| end of split  15 / 20 | epoch   6 | time:  3.08s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0195
| end of split  16 / 20 | epoch   6 | time:  3.12s | valid loss  1.92 | valid ppl     6.80 | learning rate 0.0195
