| end of split  16 / 20 | epoch   3 | time:  3.02s | valid loss  1.90 | valid ppl     6.70 | learning rate 20.0000
| end of split  17 / 20 | epoch   3 | time:  2.95s | valid loss  2.15 | valid ppl     8.57 | learning rate 20.0000
| end of split  18 / 20 | epoch   3 | time:  3.01s | valid loss  2.08 | valid ppl     8.01 | learning rate 20.0000
| end of split  19 / 20 | epoch   3 | time:  3.01s | valid loss  1.95 | valid ppl     7.06 | learning rate 20.0000
| end of split  20 / 20 | epoch   3 | time:  2.96s | valid loss  1.94 | valid ppl     6.97 | learning rate 20.0000
| end of split   1 / 20 | epoch   4 | time:  3.16s | valid loss  2.15 | valid ppl     8.55 | learning rate 20.0000
| end of split   2 / 20 | epoch   4 | time:  3.05s | valid loss  2.10 | valid ppl     8.16 | learning rate 20.0000
| end of split   3 / 20 | epoch   4 | time:  3.01s | valid loss  1.94 | valid ppl     6.94 | learning rate 20.0000
| end of split   4 / 20 | epoch   4 | time:  3.10s | valid loss  1.95 | valid ppl     7.06 | learning rate 20.0000
| end of split   5 / 20 | epoch   4 | time:  3.05s | valid loss  1.87 | valid ppl     6.47 | learning rate 20.0000
| end of split   6 / 20 | epoch   4 | time:  3.03s | valid loss  1.94 | valid ppl     6.96 | learning rate 20.0000
| end of split   7 / 20 | epoch   4 | time:  3.07s | valid loss  1.91 | valid ppl     6.78 | learning rate 20.0000
| end of split   8 / 20 | epoch   4 | time:  3.03s | valid loss  2.02 | valid ppl     7.55 | learning rate 20.0000
| end of split   9 / 20 | epoch   4 | time:  3.00s | valid loss  1.89 | valid ppl     6.62 | learning rate 20.0000
| end of split  10 / 20 | epoch   4 | time:  3.05s | valid loss  1.88 | valid ppl     6.53 | learning rate 20.0000
| end of split  11 / 20 | epoch   4 | time:  3.06s | valid loss  1.92 | valid ppl     6.84 | learning rate 20.0000
| end of split  12 / 20 | epoch   4 | time:  3.10s | valid loss  1.92 | valid ppl     6.79 | learning rate 20.0000
| end of split  13 / 20 | epoch   4 | time:  3.11s | valid loss  1.97 | valid ppl     7.16 | learning rate 20.0000
| end of split  14 / 20 | epoch   4 | time:  3.01s | valid loss  1.91 | valid ppl     6.77 | learning rate 20.0000
| end of split  15 / 20 | epoch   4 | time:  3.08s | valid loss  1.96 | valid ppl     7.13 | learning rate 20.0000
| end of split  16 / 20 | epoch   4 | time:  3.03s | valid loss  1.94 | valid ppl     6.94 | learning rate 20.0000
| end of split  17 / 20 | epoch   4 | time:  2.97s | valid loss  1.88 | valid ppl     6.53 | learning rate 5.0000
| end of split  18 / 20 | epoch   4 | time:  2.90s | valid loss  1.85 | valid ppl     6.34 | learning rate 5.0000
| end of split  19 / 20 | epoch   4 | time:  2.89s | valid loss  1.86 | valid ppl     6.40 | learning rate 5.0000
| end of split  20 / 20 | epoch   4 | time:  3.03s | valid loss  1.85 | valid ppl     6.39 | learning rate 5.0000
| end of split   1 / 20 | epoch   5 | time:  3.21s | valid loss  1.86 | valid ppl     6.40 | learning rate 5.0000
| end of split   2 / 20 | epoch   5 | time:  3.11s | valid loss  1.83 | valid ppl     6.22 | learning rate 5.0000
| end of split   3 / 20 | epoch   5 | time:  3.07s | valid loss  1.83 | valid ppl     6.22 | learning rate 5.0000
| end of split   4 / 20 | epoch   5 | time:  3.05s | valid loss  1.83 | valid ppl     6.24 | learning rate 5.0000
