EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
60	15:15:43	1	0.0016	6.7413447836171025	9.468732833862305	0.7753	0.8031	0.7890
61	15:16:15	2	0.0016	7.0385410682014795	9.462717056274414	0.7782	0.8061	0.7919
62	15:16:47	3	0.0016	7.006590625514155	9.462976455688477	0.7760	0.8039	0.7897
63	15:17:19	4	0.0016	7.0016274244888965	9.442480087280273	0.7775	0.8054	0.7912
64	15:17:51	1	0.0008	6.897024216859237	9.433563232421875	0.7778	0.8069	0.7921
65	15:18:24	2	0.0008	7.095866462458735	9.454652786254883	0.7765	0.8061	0.7910
66	15:18:57	3	0.0008	6.8798277378082275	9.433938026428223	0.7778	0.8069	0.7921
67	15:19:29	4	0.0008	6.787107301794964	9.448417663574219	0.7769	0.8054	0.7909
68	15:20:02	1	0.0004	6.822855742081352	9.447484016418457	0.7783	0.8069	0.7924
69	15:20:34	2	0.0004	6.811297499615213	9.446167945861816	0.7769	0.8054	0.7909
70	15:21:06	3	0.0004	7.317587562229322	9.442161560058594	0.7767	0.8046	0.7904
71	15:21:38	4	0.0004	6.797662683155226	9.440804481506348	0.7753	0.8031	0.7890
72	15:22:11	1	0.0002	7.019907205001168	9.441686630249023	0.7753	0.8031	0.7890
73	15:22:42	2	0.0002	6.918535025223441	9.441791534423828	0.7753	0.8031	0.7890
74	15:23:14	3	0.0002	6.885899180951326	9.441888809204102	0.7760	0.8039	0.7897
75	15:23:47	4	0.0002	6.873555919398433	9.44052791595459	0.7753	0.8031	0.7890
